name,gender,fathers_name,date_of_birth,class_id,email,phone,address,id
Savinan joshi,Male,ajeet chaudhary joshi,2019-05-04,CL000001,savinan.joshi@hotmail.com,+918509340416,"38/402, Talwar, Kolhapur, Shrawasti, Uttar Pradesh, India, 375422",ST000001
Abayana vaghela,Female,aman vaghela,2018-04-05,CL000001,abayana.vaghela@gmail.com,+917695168177,"H.No. 99, Doshi, Fatehpur, Chitrakoot, Uttar Pradesh, India, 741877",ST000002
Dhanomika vernekar,Female,akash @ dabbu vernekar,2018-02-01,CL000001,dhanomika.vernekar@hotmail.com,+916358338661,"368, Sani Road, Etawah, Kasganj, Uttar Pradesh, India, 990368",ST000003
Sahityan thombre,Male,rahul mishra thombre,2018-04-10,CL000001,sahityan.thombre@yahoo.com,+919874318856,"802, Balasubramanian Zila, Shimla, Ghazipur, Uttar Pradesh, India, 987593",ST000004
Dharshana jariwala,Female,aadil sefi jariwala,2018-04-13,CL000001,dharshana.jariwala@hotmail.com,+918988607257,"H.No. 534, Mangal Ganj, Mumbai, Pratapgarh, Uttar Pradesh, India, 423189",ST000005
Ajala ajgaonkar,Female,dilshad ajgaonkar,2017-10-19,CL000001,ajala.ajgaonkar@hotmail.com,+916391017893,"H.No. 34, Bumb Nagar, North Dumdum, Shamli, Uttar Pradesh, India, 378187",ST000006
Reshega wanjari,Female,saleem ansari wanjari,2018-01-13,CL000001,reshega.wanjari@hotmail.com,+918466176286,"75/22, Gara Nagar, Aurangabad, Sambhal, Uttar Pradesh, India, 698681",ST000007
Geretharan walia,Male,devanand walia,2017-11-26,CL000001,geretharan.walia@gmail.com,+917570313033,"H.No. 238, Wagle Road, Panipat, Sambhal, Uttar Pradesh, India, 184727",ST000008
Premlal vaswani,Male,devender vaswani,2019-04-02,CL000001,premlal.vaswani@yahoo.com,+918813180060,"H.No. 57, Bala, Nangloi Jat, Etah, Uttar Pradesh, India, 599043",ST000009
Sameena hansraj,Female,baban @ suresh hansraj,2017-11-19,CL000001,sameena.hansraj@hotmail.com,+919600733040,"27/373, Dyal Nagar, Belgaum, Jalaun, Uttar Pradesh, India, 302542",ST000010
Dattatri sachan,Male,ved pal sachan,2019-03-15,CL000001,dattatri.sachan@hotmail.com,+916119576116,"05, Sidhu Chowk, Katihar, Faizabad, Uttar Pradesh, India, 945132",ST000011
Rakshovidhwansakaraka barman,Male,rajat barman,2017-12-02,CL000001,rakshovidhwansakaraka.barman@hotmail.com,+916986835324,"40/32, Choudhry Chowk, Malegaon, Pilibhit, Uttar Pradesh, India, 926049",ST000012
Adelaide kaul,Female,bhanu kaul,2017-10-15,CL000001,adelaide.kaul@hotmail.com,+917064374524,"196, Borah Chowk, Rajkot, Etah, Uttar Pradesh, India, 711116",ST000013
Jenanthi kalbhor,Female,kishor rai kalbhor,2017-10-02,CL000001,jenanthi.kalbhor@hotmail.com,+919688474205,"74/45, Rege Path, Tezpur, Moradabad, Uttar Pradesh, India, 278774",ST000014
Bhooshita shirke,Female,ankur@ joni shirke,2017-08-16,CL000001,bhooshita.shirke@hotmail.com,+918000952475,"22/531, Dani Ganj, Yamunanagar, Saharanpur, Uttar Pradesh, India, 075927",ST000015
Poornisha wankar,Female,ranjeet wankar,2019-05-11,CL000001,poornisha.wankar@gmail.com,+918834839087,"61/94, Sen Zila, Faridabad, Raebareli, Uttar Pradesh, India, 144136",ST000016
Harsini nambiar,Female,sh santosh s/o sh ramavtar nambiar,2019-02-09,CL000001,harsini.nambiar@yahoo.com,+916865106875,"75/319, Chauhan Path, Jorhat, Gorakhpur, Uttar Pradesh, India, 540632",ST000017
Rishim marathe,Male,ramhetu marathe,2018-07-03,CL000001,rishim.marathe@yahoo.com,+918574279777,"88/97, Salvi Marg, Ratlam, Shamli, Uttar Pradesh, India, 654841",ST000018
Shrut thakran,Male,gaurav thakran,2017-08-04,CL000001,shrut.thakran@gmail.com,+917079673150,"629, Rana, Bikaner, Kaushambi, Uttar Pradesh, India, 566309",ST000019
